brind,startT,endT,commTime,commStart,commEnd
1091,,,,2008-03-31 09:07:35,2008-03-31 09:07:38
1076,2008-04-08 08:22:15,2008-04-08 08:33:29,,,
1076,,,2008-04-08 08:22:15,,
1076,,,2008-04-08 08:33:29,,
1136,2008-04-08 08:36:51,2008-04-08 08:45:19,,,
1136,,,2008-04-08 08:36:51,,
1136,,,2008-04-08 08:45:19,,
1050,2008-04-08 08:54:38,2008-04-08 09:03:04,,,
1050,,,2008-04-08 08:54:38,,
1050,,,2008-04-08 09:03:04,,
1095,2008-04-08 09:12:46,2008-04-08 09:25:40,,,
1095,,,2008-04-08 09:12:46,,
1095,,,,2008-04-08 09:25:33,2008-04-08 09:25:40
1095,2008-04-08 09:25:40,2008-04-08 09:25:40,,,
1220,2008-04-08 09:38:25,2008-04-08 09:38:31,,,
1220,,,,2008-04-08 09:38:25,2008-04-08 09:38:31
1220,2008-04-08 09:38:31,2008-04-08 09:41:41,,,
1220,,,2008-04-08 09:41:41,,
1217,2008-04-08 09:42:03,2008-04-08 09:50:41,,,
1217,,,2008-04-08 09:42:03,,
1217,,,2008-04-08 09:50:41,,
1132,2008-04-08 10:11:45,2008-04-08 10:12:19,,,
1132,,,2008-04-08 10:11:45,,
1132,2008-04-08 10:12:19,2008-04-08 10:15:11,,,
1132,,,2008-04-08 10:12:19,,
1132,2008-04-08 10:15:11,2008-04-08 12:11:19,,,
1132,,,2008-04-08 10:15:11,,
1132,,,,2008-04-08 10:54:14,2008-04-08 10:54:38
1132,,,,2008-04-08 11:06:16,2008-04-08 11:06:18
1132,,,2008-04-08 12:04:26,,
1132,,,,2008-04-08 12:11:12,2008-04-08 12:11:19
1048,2008-04-08 11:00:11,2008-04-08 11:04:22,,,
1048,,,2008-04-08 11:00:11,,
1048,,,2008-04-08 11:04:22,,
1055,2008-04-08 11:17:11,2008-04-08 13:24:00,,,
1055,,,2008-04-08 11:17:11,,
1055,,,,2008-04-08 12:07:07,2008-04-08 12:09:57
1055,,,2008-04-08 12:17:52,,
1055,,,,2008-04-08 12:52:49,2008-04-08 12:56:21
1055,,,,2008-04-08 13:20:03,2008-04-08 13:24:00
1014,2008-04-08 14:20:34,2008-04-08 14:28:40,,,
1014,,,2008-04-08 14:20:34,,
1014,,,2008-04-08 14:28:40,,
1031,2008-04-08 14:28:51,2008-04-08 14:37:51,,,
1031,,,2008-04-08 14:28:51,,
1031,,,2008-04-08 14:37:51,,
1100,2008-03-31 08:12:05,2008-03-31 10:34:07,,,
1100,,,2008-03-31 08:12:05,,
1100,,,,2008-03-31 08:36:29,2008-03-31 08:36:39
1100,,,2008-03-31 08:48:56,,
1100,,,2008-03-31 09:23:59,,
1100,,,2008-03-31 09:34:04,,
1100,,,2008-03-31 09:41:56,,
1100,,,2008-03-31 10:00:42,,
1100,,,2008-03-31 10:28:02,,
1100,,,,2008-03-31 10:34:05,2008-03-31 10:34:07
1030,2008-03-31 10:47:27,2008-03-31 11:11:45,,,
1030,,,2008-03-31 10:47:27,,
1030,,,2008-03-31 11:11:45,,
1077,2008-04-08 08:22:22,2008-04-08 09:48:50,,,
1077,,,2008-04-08 08:22:22,,
1077,,,2008-04-08 08:52:18,,
1077,,,,2008-04-08 09:15:55,2008-04-08 09:17:02
1077,,,,2008-04-08 09:48:46,2008-04-08 09:48:50
1072,2008-04-08 10:21:38,2008-04-08 12:02:10,,,
1072,,,2008-04-08 10:21:38,,
1072,,,2008-04-08 10:56:48,,
1072,,,,2008-04-08 11:00:27,2008-04-08 11:02:16
1072,,,2008-04-08 11:55:19,,
1072,,,,2008-04-08 11:59:44,2008-04-08 12:02:10
1114,2008-04-08 12:20:15,2008-04-08 14:12:47,,,
1114,,,2008-04-08 12:20:15,,
1114,,,,2008-04-08 12:50:44,2008-04-08 12:52:37
1114,,,2008-04-08 13:48:50,,
1114,,,2008-04-08 14:05:18,,
1114,,,2008-04-08 14:12:47,,
1044,2008-04-08 14:38:30,2008-04-08 15:49:55,,,
1044,,,2008-04-08 14:38:30,,
1044,,,,2008-04-08 15:12:58,2008-04-08 15:13:44
1044,,,,2008-04-08 15:19:05,2008-04-08 15:22:18
1044,,,,2008-04-08 15:47:52,2008-04-08 15:49:55
1094,2008-03-31 08:11:48,2008-03-31 08:17:32,,,
1094,,,2008-03-31 08:11:48,,
1094,,,2008-03-31 08:17:32,,
1186,2008-03-31 08:17:47,2008-03-31 09:59:26,,,
1186,,,2008-03-31 08:17:47,,
1186,,,,2008-03-31 09:22:38,2008-03-31 09:23:22
1186,,,2008-03-31 09:41:18,,
1186,,,,2008-03-31 09:59:23,2008-03-31 09:59:26
1078,2008-04-08 08:22:28,2008-04-08 09:17:23,,,
1078,,,2008-04-08 08:22:28,,
1078,,,,2008-04-08 08:42:21,2008-04-08 08:42:23
1078,,,,2008-04-08 09:04:07,2008-04-08 09:05:04
1078,,,2008-04-08 09:17:23,,
1063,2008-04-08 11:54:43,2008-04-08 13:35:57,,,
