brind,startT,endT,stayDuration,commDuration
1083,2008-04-08 08:22:49.980,2008-04-08 11:27:34.980,03:04:45,
1083,2008-04-08 08:51:55.980,2008-04-08 08:52:18.990,,00:00:23.010000
1083,2008-04-08 09:35:05.970,2008-04-08 09:41:36.960,,00:06:30.990000
1083,2008-04-08 09:54:45.990,2008-04-08 09:56:09.960,,00:01:23.970000
1083,2008-04-08 11:25:25.980,2008-04-08 11:27:14.970,,00:01:48.990000
1059,2008-04-08 11:29:57.990,2008-04-08 11:57:08.970,00:27:10.980000,
1059,2008-04-08 11:56:48.000,2008-04-08 11:57:08.940,,00:00:20.940000
1117,2008-04-08 12:20:02.970,2008-04-08 13:48:53.940,01:28:50.970000,
1117,2008-04-08 12:30:28.980,2008-04-08 12:30:49.980,,00:00:21
1117,2008-04-08 12:48:21.000,2008-04-08 12:49:03.990,,00:00:42.990000
1117,2008-04-08 13:04:06.000,2008-04-08 13:07:15.990,,00:03:09.990000
1117,2008-04-08 13:44:15.000,2008-04-08 13:48:27.990,,00:04:12.990000
1234,2008-04-08 14:00:51.990,2008-04-08 14:07:06.030,00:06:14.040000,
1234,2008-04-08 14:08:33.990,2008-04-08 14:08:57.000,,00:00:23.010000
1234,2008-04-08 14:09:01.980,2008-04-08 14:09:11.970,,00:00:09.990000
1018,2008-04-08 14:21:01.980,2008-04-08 15:36:45.990,01:15:44.010000,
1018,2008-04-08 14:51:05.970,2008-04-08 14:52:14.010,,00:01:08.040000
1018,2008-04-08 15:32:59.010,2008-04-08 15:35:27.990,,00:02:28.980000
1084,2008-04-08 08:23:12.000,2008-04-08 10:51:37.980,02:28:25.980000,
1084,2008-04-08 08:25:36.990,2008-04-08 08:25:42.990,,00:00:06
1084,2008-04-08 08:52:18.990,2008-04-08 08:53:06.990,,00:00:48
1084,2008-04-08 09:08:02.010,2008-04-08 09:08:47.010,,00:00:45
1084,2008-04-08 09:41:36.960,2008-04-08 09:41:44.970,,00:00:08.010000
1084,2008-04-08 09:42:06.990,2008-04-08 09:43:30.780,,00:01:23.790000
1084,2008-04-08 10:01:16.980,2008-04-08 10:02:16.980,,00:01:00
1084,2008-04-08 10:15:00.990,2008-04-08 10:16:25.980,,00:01:24.990000
1084,2008-04-08 10:18:30.990,2008-04-08 10:19:20.970,,00:00:49.980000
1084,2008-04-08 10:33:57.960,2008-04-08 10:33:59.970,,00:00:02.010000
1084,2008-04-08 10:34:33.990,2008-04-08 10:35:35.700,,00:01:01.710000
1084,2008-04-08 10:39:53.970,2008-04-08 10:40:57.000,,00:01:03.030000
1084,2008-04-08 10:50:11.970,2008-04-08 10:51:13.980,,00:01:02.010000
1073,2008-04-08 10:55:45.990,2008-04-08 11:01:45.990,00:06:00,
1073,2008-04-08 11:01:33.990,2008-04-08 11:02:11.970,,00:00:37.980000
1073,2008-04-08 11:02:13.980,2008-04-08 12:27:24.990,01:25:11.010000,
1073,2008-04-08 11:40:21.960,2008-04-08 11:41:02.970,,00:00:41.010000
1073,2008-04-08 12:25:12.990,2008-04-08 12:26:18.000,,00:01:05.010000
1121,2008-04-08 12:31:10.980,2008-04-08 13:41:32.880,01:10:21.900000,
1121,2008-04-08 12:30:03.960,2008-04-08 12:30:28.980,,00:00:25.020000
1121,2008-04-08 12:54:07.980,2008-04-08 12:56:25.980,,00:02:18
1121,2008-04-08 13:16:13.980,2008-04-08 13:17:40.980,,00:01:27
1121,2008-04-08 13:24:01.980,2008-04-08 13:25:39.960,,00:01:37.980000
1121,2008-04-08 13:39:50.970,2008-04-08 13:41:13.980,,00:01:23.010000
1226,2008-04-08 13:44:52.980,2008-04-08 16:01:03.990,02:16:11.010000,
1226,2008-04-08 14:21:12.990,2008-04-08 14:21:25.980,,00:00:12.990000
1226,2008-04-08 14:27:00.990,2008-04-08 14:27:48.990,,00:00:48
1226,2008-04-08 15:14:59.970,2008-04-08 15:16:34.980,,00:01:35.010000
1226,2008-04-08 15:45:24.990,2008-04-08 15:47:12.990,,00:01:48
1226,2008-04-08 15:54:51.990,2008-04-08 16:00:41.970,,00:05:49.980000
1085,2008-04-08 08:23:52.980,2008-04-08 08:36:26.850,00:12:33.870000,
1142,2008-04-08 08:36:48.990,2008-04-08 08:45:21.990,00:08:33,
1142,2008-04-08 08:38:27.000,2008-04-08 08:38:42.990,,00:00:15.990000
1142,2008-04-08 08:45:53.970,2008-04-08 08:45:59.010,,00:00:05.040000
1176,2008-04-08 08:59:06.990,2008-04-08 09:12:04.980,00:12:57.990000,
1079,2008-04-08 09:14:43.980,2008-04-08 09:21:14.970,00:06:30.990000,
1211,2008-04-08 09:29:46.980,2008-04-08 10:53:09.960,02:39:44.010000,
1211,2008-04-08 10:00:03.990,2008-04-08 10:01:00.000,,00:00:56.010000
1211,2008-04-08 10:01:12.930,2008-04-08 10:01:16.980,,00:00:04.050000
1211,2008-04-08 10:05:12.000,2008-04-08 10:05:57.990,,00:00:45.990000
1211,2008-04-08 10:23:56.010,2008-04-08 10:25:42.990,,00:01:46.980000
1211,2008-04-08 10:49:24.990,2008-04-08 10:50:11.970,,00:00:46.980000
1211,2008-04-08 11:33:37.980,2008-04-08 11:34:24.960,,00:00:46.980000
1211,2008-04-08 11:34:42.000,2008-04-08 11:35:13.980,,00:00:31.980000
1211,2008-04-08 11:50:41.970,2008-04-08 11:50:48.990,,00:00:07.020000
1211,2008-04-08 11:51:03.000,2008-04-08 11:52:15.990,,00:01:12.990000
1211,2008-04-08 12:06:23.970,2008-04-08 12:09:03.990,,00:02:40.020000
1110,2008-04-08 12:20:15.000,2008-04-08 12:26:29.970,00:06:14.970000,
1110,2008-04-08 12:26:18.000,2008-04-08 12:26:51.990,,00:00:33.990000
1110,2008-04-08 12:28:04.950,2008-04-08 13:40:04.320,01:11:59.370000,
1110,2008-04-08 12:58:51.000,2008-04-08 13:04:06.000,,00:05:15
1110,2008-04-08 13:36:18.990,2008-04-08 13:38:45.990,,00:02:27
1224,2008-04-08 13:44:03.000,2008-04-08 16:02:08.970,02:18:05.970000,
1224,2008-04-08 14:21:25.980,2008-04-08 14:21:40.980,,00:00:15
1224,2008-04-08 14:28:21.600,2008-04-08 14:28:49.980,,00:00:28.380000
